Question,Valinnat1,Valinnat2,Valinnat3, Answer
Montako grammaa kissan karvaa tarvitaan tekemään villapaitaa?,5000,1000,20000,1000
Kuinka monta aikavyöhykettä Venäjällä on?,5,4,11,11
Kuinka monta raitaa Yhdysvaltain lipussa on?,11,12,14.13
Millä valtiolla on eniten saaria?,Italiassa,Ruotsilla,Filippeneillä, Ruotsilla
Mikä on 2000-luvun myydyin kirjasarja?,Taru Sormusten Herrasta,Risto Räppääjä,Harry Potter, Harry Potter
Minä vuonna Netflix perustettiin,2001,2009,2014,1997
Mikä oli Pixarin ensimmäinen kokoillan elokuva?,Leijonakuningas,Prinsessa Ruusunen,Toy Story, Toy Story
Mikä sormi on latinaksi digitus secundus manus?,Nimetön,Etusormi,Peukalo, Etusormi
Mikä valtio on maailman suurin kullantuottajamaa?,Kiina,Amerikka,Kanada, Kiina
Käteisrahana euro tuli käyttöön Suomessa,2001,2000,2002,2002
